topology,seed,scenario,mode,steps,J_initial,D_initial,J_after_update_1,J_final,D_after_update_1,D_final,stress_final,J_mean,D_mean,stress_mean,movement_total,max_abs_x,max_abs_v
star,1,partial,standard,2100,0.10078616614583996,0.001418239361307898,1.242200996353875,5.05121717738423,0.06152137338276074,1.615936022019665,0.34999999999999987,5.045634170915638,1.6120749099405676,0.3500314543909514,7.670343951209694,1.0,0.12
star,1,partial,gated,2100,0.10078616614583996,0.001418239361307898,0.7640627576693245,5.051217177384244,0.0723427587894881,1.6159360220196655,0.35,5.043677197749928,1.6124096364425327,0.3500461546302754,14.44384030669853,1.0,0.12
star,2,zero,standard,2100,0.10599803867110773,0.001111878736130286,1.2965375451784715,2.194419108540049,0.15949040985929083,0.12965431552824308,0.0,2.0893515664863136,0.12999707852117098,0.0,848.9707387395442,0.3031428084471389,0.12
star,2,zero,gated,2100,0.10599803867110773,0.001111878736130286,0.07781299244846895,6.609495244674758e-297,0.0005421633833058002,0.0,0.0,0.0001243069930993423,4.772855065457775e-07,0.0,0.10719277516319603,0.01554652029197531,0.005815440664709229
star,2,partial,standard,2100,0.10599803867110773,0.001111878736130286,1.2864799168353107,5.051217177384232,0.13676609933725958,1.6159360220196648,0.34999999999999987,5.045168106221986,1.612535357349335,0.35004442052849477,11.41525483997016,1.0,0.12
star,2,partial,gated,2100,0.10599803867110773,0.001111878736130286,0.7794252155239808,5.05121717738424,0.0675561615962297,1.6159360220196581,0.35,5.043787448828113,1.6124772275315271,0.3500451816795341,13.991970260170635,1.0,0.12
star,3,zero,standard,2100,0.06048054034803931,0.0007506739339190275,1.2498203939763595,1.4319916542540747,0.06185038618275669,0.12965431552824308,0.0,2.0900322083709693,0.1296725425330273,0.0,1153.2552505066851,0.3158402372968481,0.12
star,3,zero,gated,2100,0.06048054034803931,0.0007506739339190275,0.04271105320017611,1.465995771319631e-297,0.0003661103656520838,0.0,0.0,6.426611379530796e-05,3.223150858115282e-07,0.0,0.060560337055688,0.013160729544370394,0.005513226025410774
star,3,partial,standard,2100,0.06048054034803931,0.0007506739339190275,1.2498203939763595,5.051217177384235,0.06185038618275669,1.6159360220196715,0.34999999999999987,5.04568012116338,1.6120970992292625,0.3500312562517873,7.453783393251919,1.0,0.12
star,3,partial,gated,2100,0.06048054034803931,0.0007506739339190275,0.7676379413665397,5.051217177384236,0.0726198080620167,1.6159360220196604,0.34999999999999987,5.043717721683901,1.6124299205602366,0.35004567905399925,14.121941836221705,1.0,0.12
star,4,zero,standard,2100,0.06968907841562652,0.0005930257406951897,1.2696890784156265,2.3626861408642346,0.16131840456044552,0.12965431552824308,0.0,2.089164941011477,0.12995891596489975,0.0,992.7115145928806,0.3138558152088213,0.12
star,4,zero,gated,2100,0.06968907841562652,0.0005930257406951897,0.04835574591971548,2.7823299134263403e-297,0.0002860017539737598,0.0,0.0,7.216310727308936e-05,2.506535304677732e-07,0.0,0.07008116091524874,0.011307579811363938,0.004538192539757303
star,4,partial,standard,2100,0.06968907841562652,0.0005930257406951897,1.2510725742840798,5.051217177384235,0.13129617061105306,1.6159360220196717,0.34999999999999987,5.04506277821298,1.6124330957190516,0.3500443514542718,10.78895797320857,1.0,0.12
star,4,partial,gated,2100,0.06968907841562652,0.0005930257406951897,0.7588758245090975,5.051217177384244,0.06709114829555192,1.6159360220196657,0.35,5.043716244795096,1.612426202121903,0.35004556317642455,13.823813072006988,1.0,0.12
star,5,zero,standard,2100,0.07165394160432657,0.0009566742769920872,1.2657096802560224,2.017061798383251,0.13993146943249168,0.12965431552824308,0.0,2.089502591267224,0.1299483155161259,0.0,624.1001739598952,0.2819968061297115,0.12
star,5,zero,gated,2100,0.07165394160432657,0.0009566742769920872,0.04990148011826671,2.567126884048833e-297,0.00046612296679052456,0.0,0.0,7.34935857221392e-05,4.102057007122811e-07,0.0,0.0717208296816316,0.017270623549903573,0.007037088320174229
star,5,partial,standard,2100,0.07165394160432657,0.0009566742769920872,1.2160039279718726,5.051217177384236,0.10370486852371248,1.6159360220196717,0.34999999999999987,5.045299931436322,1.6123360391857295,0.3500395522821838,9.007560488926295,1.0,0.12
