parameter,value,scenario,mode,steps,seed,J_initial,D_initial,J_after_update_1,J_final,D_after_update_1,D_final,stress_final,J_mean,D_mean,stress_mean,movement_total,max_abs_x,max_abs_v
beta_rest,0.1,full,standard,100,42,0.0,0.0,1.2000000000000002,5.758079908675757,7.703719777548943e-33,1.2754843240449871,0.42519188267697017,5.608103561848618,1.2139376508952906,0.4270416328446629,21.06649029571417,1.0,0.12
beta_rest,0.1,full,gated,100,42,0.0,0.0,1.2000000000000002,5.758079908675757,7.703719777548943e-33,1.2754843240449871,0.42519188267697017,5.608103561848618,1.2139376508952906,0.4270416328446629,21.06649029571417,1.0,0.12
beta_rest,0.1,partial,standard,200,42,0.0,0.0,0.6,4.4892373169743545,0.036,1.9936969200245325,0.351581744260318,4.4299208473234275,1.9036946088489781,0.35279905045601767,52.22468604210211,1.0,0.12
beta_rest,0.1,partial,gated,200,42,0.0,0.0,0.6,3.798683066322876,0.036,1.8248443841224313,0.35233464786885055,3.750824954980539,1.7337158921727904,0.35344653404632603,50.89636862768172,1.0,0.12
beta_rest,0.2,zero,standard,300,42,0.0663266915454487,0.00047046694521315666,1.1830720264299417,1.6585168912198223,0.1448492691026211,0.29686440925112734,0.0,1.6958012857869824,0.2995770058859289,0.0,71.20642549729726,0.24542560043585965,0.12
beta_rest,0.2,zero,gated,300,42,0.0663266915454487,0.00047046694521315666,0.047291712079763154,2.8339297588428143e-44,0.0002301366080741249,2.863019230302155e-94,0.0,0.0005531685078392872,1.5363314385140212e-06,0.0,0.06633190086032834,0.011487456086003142,0.0043046720690707715
beta_rest,0.2,full,standard,100,42,0.0,0.0,1.2000000000000002,5.758079908675757,7.703719777548943e-33,1.2754843240449871,0.42519188267697017,5.608103561848618,1.2139376508952906,0.4270416328446629,21.06649029571417,1.0,0.12
beta_rest,0.2,full,gated,100,42,0.0,0.0,1.2000000000000002,5.758079908675757,7.703719777548943e-33,1.2754843240449871,0.42519188267697017,5.608103561848618,1.2139376508952906,0.4270416328446629,21.06649029571417,1.0,0.12
beta_rest,0.2,partial,standard,200,42,0.0,0.0,0.6,4.4892373169743545,0.036,1.9936969200245325,0.351581744260318,4.4299208473234275,1.9036946088489781,0.35279905045601767,52.22468604210211,1.0,0.12
beta_rest,0.2,partial,gated,200,42,0.0,0.0,0.6,3.7844135498750675,0.036,1.770436247908911,0.35305259719550036,3.7525394697674512,1.7479642969451876,0.3533817102559763,52.06520421167531,1.0,0.12
beta_rest,0.5,zero,standard,300,42,0.0663266915454487,0.00047046694521315666,1.1830720264299417,1.6585168912198223,0.1448492691026211,0.29686440925112734,0.0,1.6958012857869824,0.2995770058859289,0.0,71.20642549729726,0.24542560043585965,0.12
beta_rest,0.5,zero,gated,300,42,0.0663266915454487,0.00047046694521315666,0.02279113117795688,3.435021443132719e-47,2.9103527466466303e-05,7.353903931849337e-115,0.0,0.0002344441543141,1.1664186630895103e-07,0.0,0.1046642761890893,0.005030447982396987,0.010761680172676927
beta_rest,0.5,full,standard,100,42,0.0,0.0,1.2000000000000002,5.758079908675757,7.703719777548943e-33,1.2754843240449871,0.42519188267697017,5.608103561848618,1.2139376508952906,0.4270416328446629,21.06649029571417,1.0,0.12
beta_rest,0.5,full,gated,100,42,0.0,0.0,1.2000000000000002,5.758079908675757,7.703719777548943e-33,1.2754843240449871,0.42519188267697017,5.608103561848618,1.2139376508952906,0.4270416328446629,21.06649029571417,1.0,0.12
beta_rest,0.5,partial,standard,200,42,0.0,0.0,0.6,4.4892373169743545,0.036,1.9936969200245325,0.351581744260318,4.4299208473234275,1.9036946088489781,0.35279905045601767,52.22468604210211,1.0,0.12
beta_rest,0.5,partial,gated,200,42,0.0,0.0,0.6,3.7821979916016586,0.036,1.8243247270724632,0.3524920522425053,3.73633771849217,1.7337577700863764,0.3536030770655053,52.28010605174086,1.0,0.12
stress_tol,0.0001,zero,standard,300,42,0.0663266915454487,0.00047046694521315666,1.1830720264299417,1.6585168912198223,0.1448492691026211,0.29686440925112734,0.0,1.6958012857869824,0.2995770058859289,0.0,71.20642549729726,0.24542560043585965,0.12
stress_tol,0.0001,zero,gated,300,42,0.0663266915454487,0.00047046694521315666,0.047291712079763154,2.8339297588428143e-44,0.0002301366080741249,2.863019230302155e-94,0.0,0.0005531685078392872,1.5363314385140212e-06,0.0,0.06633190086032834,0.011487456086003142,0.0043046720690707715
